142.98,100,100,47.66,114.5283612,22,152.7044816,0,4606
286,200,200,47.7,114.5034113,56,114.4950947,-4.59e+03,5280
620,400,400,47.7,114.4858357,163,114.4799771,1.42,6389
1.24e+03,800,800,47.7,114.4771308,516,114.4742292,2.02,8780
2.53e+03,1600,1600,47.7,114.474243,1967,114.4732804,3.01,12808
5.05e+03,3200,3200,47.7,114.4727731,6599,114.4722831,1.96,19206
1.02e+04,6400,6400,47.7,114.4720314,24556,114.4717841,1.98,28648
